Date / Time,City,State,Shape,Duration,Summary,Posted
1/1/2013 1:00,Delta Junction,AK,Triangle,2 minutes,"2 UFO's bright orange lights in Delta Junction, Alaska",2/4/2013
12/28/2012 19:30,Eagle River,AK,Oval,instant,"Cloud colored but clearly definable with no lights, girlfriend and I both exclaimed at the same time on the size and speed of the objec",2/4/2013
12/26/2012 7:40,Fairbanks,AK,Triangle,10,Fairbanks Alaska Ufo Sighting Over Birtch Hill.,2/4/2013
12/25/2012 16:30,Fairbanks,AK,Oval,2 minutes,2 oval shaped bright reddish with yellow to white leading light fire balls in sky over fairbanks.,2/4/2013
12/19/2012 19:00,Homer,AK,Fireball,5 minutes,"Saw reddish orange circles in the sky over the bay in Homer, AK.",12/21/2012
12/14/2012 8:20,Wasilla,AK,Fireball,,"Saw 4 glowing red orange dots falling in formation in Palmer, Alaska.",12/20/2012
11/25/2012 19:50,Anchorage,AK,Light,90 minutes,Object emitted another object.,12/20/2012
11/22/2012 19:05,Fairbanks,AK,Light,~3 minutes,Unidentified orange lights over Fairbanks Alaska.,12/20/2012
11/15/2012,Wasilla,AK,Other,25 minutes,Body Inhabitated,7/3/2013
11/14/2012 21:00,Anchorage,AK,Disk,~5 minutes,"Saucer with bright lights, then spiky halo in colors, over Cook Inlet, Anchorage.",11/19/2012
11/9/2012 22:00,Ketchikan,AK,Light,2 hours,Square formation of 4 lighthouse like beacons rotating in sequence clockwise.,11/19/2012
11/8/2012 16:30,Ketchikan,AK,Light,15-20 seconds,White light flew across sky and then shot strait up faded to red and dissapeared,11/19/2012
11/7/2012 19:45,Wasilla - Susitna Delta,AK,Light,2 minutes,"6 orange orbs hovering north east of Wasilla, Alaska and 1orange orb traveling west over Susitna river delta.",11/19/2012
11/4/2012 19:15,Anchorage,AK,Light,3-5 minutes,"3 orange ""stars,"" brighter than reg stars in a hazy night sky. non-moving then fading out. triangle formation.",11/19/2012
11/2/2012 22:30,Soldotna,AK,Flash,10 minutes,3 bright consecutive flashes of light.,11/4/2012
11/2/2012 22:00,Homer,AK,Flash,20 minutes,Strobe light,11/19/2012
10/31/2012 20:36,Anchorage,AK,Light,1 minute,White stationary light over the mountains changed to purple then back to white and then back to purple then it fell like a shooting sta,11/4/2012
10/27/2012 6:00,Anchorage,AK,Triangle,30 minutes,"Flashing lights, triangular. Star sized, clear night, 2 witnesses.",11/4/2012
10/26/2012 23:10,Eagle River,AK,Light,2 minutes,"Bright, orange stationary object flickering in night sky; pieces came off object and fell towards ground.",10/30/2012
10/26/2012 0:00,Tanacross,AK,Light,all night,"Seen a triangle light at first, then it moved out ward and it looked like a spider like star. several star light objects flying around",10/30/2012
10/25/2012 23:00,North Pole,AK,Light,15 seconds,It was late at night and me and my mother were taking our dog out. It was late at night so the sky was almost pitch black with but a fe,12/20/2012
10/21/2012 18:30,Anchorage,AK,Cylinder,30 seconds,"Cylindrical lights, Anchorage",10/30/2012
10/20/2012 23:00,Anchorage,AK,Light,20+ minutes,"3 bright lights (same hew as the stars) darting around the area of the Big Dipper, 2 seemed to be ""attacking"" the 1",10/30/2012
10/18/2012 21:30,Fairbanks,AK,Light,5-10 minutes,"Changing light from bright to dim, to off to blue/red",10/30/2012
10/12/2012 21:05,Anchorage,AK,Fireball,10 seconds,Short rocket-like fireball near air force base.,10/30/2012
10/2/2012 21:30,Anchorage,AK,Formation,7 minutes,25 to 35 light orange orbs in sky...not flares,10/30/2012
9/29/2012 21:20,Anchorage,AK,Light,1 hour,Jesus Christ enlighten us.,10/30/2012
9/23/2012 6:00,Savoonga,AK,Light,2 minutes,"One object hovering around Savoonga, ak. Sevral sightings this month.",9/24/2012
9/8/2012 19:00,Wasilla,AK,Sphere,5 minutes,Red Dancing Orb with Orange colored bottom.,9/24/2012
9/7/2012 23:00,Willow,AK,Fireball,5 minutes,Several orange glowing balls in single line 1/4-1/2 mile apart. West to East around Hatcher Pass,9/24/2012
9/3/2012 21:57,Fairbanks,AK,Unknown,2 minutes,Metallic sounds and bright flash of light - Seen from indoors with blinds shut,9/24/2012
8/28/2012 9:00,Anchorage,AK,Light,5 minutes,2 bright lights over Anchorage,9/24/2012
8/24/2012 12:00,,AK,Oval,30 seconds,I saw a gold and black oval shaped UFO AND it disappeared,10/23/2013
7/25/2012 1:15,Anchorage,AK,Other,5 minutes,Black mass in Anchorage.,8/5/2012
7/18/2012 1:00,Homer,AK,Light,20 or 30 minutes,"Multiple lights executing strange maneuvers by darting back and forth, blinking on and off and moving in geometric patterns.",8/19/2012
